 ,Label,Area,Mean,Min,Max
1,,3983023.973,255,255,255
2,,462.329,255,255,255
3,,212.329,255,255,255
4,,164.384,255,255,255
5,,215.753,255,255,255
6,,821.918,255,255,255
7,,198.630,255,255,255
8,,147.260,255,255,255
9,,198.630,255,255,255
10,,267.123,255,255,255
11,,157.534,255,255,255
12,,369.863,255,255,255
13,,715.753,255,255,255
14,,1359.589,255,255,255
15,,226.027,255,255,255
16,,205.479,255,255,255
17,,106.164,255,255,255
18,,260.274,255,255,255
19,,123.288,255,255,255
20,,202.055,255,255,255
21,,297.945,255,255,255
22,,212.329,255,255,255
23,,534.247,255,255,255
24,,140.411,255,255,255
25,,160.959,255,255,255
26,,119.863,255,255,255
27,,308.219,255,255,255
28,,589.041,255,255,255
29,,325.342,255,255,255
30,,119.863,255,255,255
31,,130.137,255,255,255
32,Mean,128786.346,255,255,255
33,SD,715316.278,0,0,0
34,Min,106.164,255,255,255
35,Max,3983023.973,255,255,255
