 ,Label,Area,Mean,Min,Max
1,,1092825.000,255,255,255
2,,19.000,255,255,255
3,,10.000,255,255,255
4,,18.000,255,255,255
5,,14.000,255,255,255
6,,18.000,255,255,255
7,,15.000,255,255,255
8,,17.000,255,255,255
9,,11.000,255,255,255
10,,10.000,255,255,255
11,,10.000,255,255,255
12,,26.000,255,255,255
13,,11.000,255,255,255
14,,10.000,255,255,255
15,,11.000,255,255,255
16,,117.000,255,255,255
17,,18.000,255,255,255
18,,17.000,255,255,255
19,,10.000,255,255,255
20,,13.000,255,255,255
21,,12.000,255,255,255
22,,12.000,255,255,255
23,,39.000,255,255,255
24,,12.000,255,255,255
25,,10.000,255,255,255
26,,17.000,255,255,255
27,,18.000,255,255,255
28,,12.000,255,255,255
29,,12.000,255,255,255
30,,31.000,255,255,255
31,,10.000,255,255,255
32,,17.000,255,255,255
33,,32.000,255,255,255
34,,10.000,255,255,255
35,,10.000,255,255,255
36,,29.000,255,255,255
37,,19.000,255,255,255
38,,25.000,255,255,255
39,,14.000,255,255,255
40,,10.000,255,255,255
41,,31.000,255,255,255
42,,16.000,255,255,255
43,,16.000,255,255,255
44,,108.000,255,255,255
45,,11.000,255,255,255
46,,34.000,255,255,255
47,,81.000,255,255,255
48,,40.000,255,255,255
49,,40.000,255,255,255
50,,81.000,255,255,255
51,,29.000,255,255,255
52,,10.000,255,255,255
53,,29.000,255,255,255
54,,160.000,255,255,255
55,,39.000,255,255,255
56,,13.000,255,255,255
57,,28.000,255,255,255
58,,26.000,255,255,255
59,,64.000,255,255,255
60,,18.000,255,255,255
61,,22.000,255,255,255
62,,18.000,255,255,255
63,,10.000,255,255,255
64,,14.000,255,255,255
65,,10.000,255,255,255
66,,49.000,255,255,255
67,,17.000,255,255,255
68,,27.000,255,255,255
69,,45.000,255,255,255
70,,44.000,255,255,255
71,,13.000,255,255,255
72,,143.000,255,255,255
73,,24.000,255,255,255
74,,29.000,255,255,255
75,,10.000,255,255,255
76,,71.000,255,255,255
77,,13.000,255,255,255
78,,11.000,255,255,255
79,,74.000,255,255,255
80,,10.000,255,255,255
81,,69.000,255,255,255
82,,45.000,255,255,255
83,,23.000,255,255,255
84,,19.000,255,255,255
85,,15.000,255,255,255
86,,26.000,255,255,255
87,,28.000,255,255,255
88,,12.000,255,255,255
89,,13.000,255,255,255
90,,35.000,255,255,255
91,,15.000,255,255,255
92,,11.000,255,255,255
93,,36.000,255,255,255
94,,87.000,255,255,255
95,,23.000,255,255,255
96,,15.000,255,255,255
97,,15.000,255,255,255
98,,17.000,255,255,255
99,,17.000,255,255,255
100,,12.000,255,255,255
101,,10.000,255,255,255
102,,12.000,255,255,255
103,,11.000,255,255,255
104,,10.000,255,255,255
105,,45.000,255,255,255
106,,119.000,255,255,255
107,,14.000,255,255,255
108,,15.000,255,255,255
109,,72.000,255,255,255
110,,14.000,255,255,255
111,,28.000,255,255,255
112,,18.000,255,255,255
113,,15.000,255,255,255
114,,30.000,255,255,255
115,,12.000,255,255,255
116,,32.000,255,255,255
117,,20.000,255,255,255
118,,10.000,255,255,255
119,,11.000,255,255,255
120,,10.000,255,255,255
121,,11.000,255,255,255
122,,22.000,255,255,255
123,,65.000,255,255,255
124,,22.000,255,255,255
125,,11.000,255,255,255
126,,13.000,255,255,255
127,,33.000,255,255,255
128,,21.000,255,255,255
129,,14.000,255,255,255
130,,12.000,255,255,255
131,,11.000,255,255,255
132,,11.000,255,255,255
133,,46.000,255,255,255
134,,13.000,255,255,255
135,,14.000,255,255,255
136,,12.000,255,255,255
137,,15.000,255,255,255
138,,11.000,255,255,255
139,,33.000,255,255,255
140,,11.000,255,255,255
141,,10.000,255,255,255
142,,13.000,255,255,255
143,,14.000,255,255,255
144,,18.000,255,255,255
145,,13.000,255,255,255
146,,42.000,255,255,255
147,,19.000,255,255,255
148,,130.000,255,255,255
149,,14.000,255,255,255
150,,18.000,255,255,255
151,,27.000,255,255,255
152,,14.000,255,255,255
153,,17.000,255,255,255
154,,28.000,255,255,255
155,,25.000,255,255,255
156,Mean,7076.923,255,255,255
157,SD,87775.683,0,0,0
158,Min,10.000,255,255,255
159,Max,1092825.000,255,255,255
