 ,Label,Area,Mean,Min,Max
1,,32432.940,255,255,255
2,,7.366,255,255,255
3,,5.453,255,255,255
4,,6.218,255,255,255
5,,8.355,255,255,255
6,,1.307,255,255,255
7,,5.006,255,255,255
8,,1.307,255,255,255
9,,1.212,255,255,255
10,,1.371,255,255,255
11,,2.105,255,255,255
12,,3.125,255,255,255
13,,18.782,255,255,255
14,,1.307,255,255,255
15,,2.105,255,255,255
16,,1.307,255,255,255
17,,3.284,255,255,255
18,,1.244,255,255,255
19,,3.029,255,255,255
20,,3.571,255,255,255
21,,3.157,255,255,255
22,,4.114,255,255,255
23,,4.018,255,255,255
24,,2.615,255,255,255
25,,1.658,255,255,255
26,,1.499,255,255,255
27,,2.296,255,255,255
28,,8.418,255,255,255
29,,2.710,255,255,255
30,Mean,1122.099,255,255,255
31,SD,6021.931,0,0,0
32,Min,1.212,255,255,255
33,Max,32432.940,255,255,255
