 ,Label,Area,Mean,Min,Max
1,,37401.818,255,255,255
2,,27.812,255,255,255
3,Mean,18714.815,255,255,255
4,SD,26427.413,0,0,0
5,Min,27.812,255,255,255
6,Max,37401.818,255,255,255
