 ,Label,Area,Mean,Min,Max
1,,37078.772,255,255,255
2,,138.237,255,255,255
3,Mean,18608.505,255,255,255
4,SD,26120.903,0,0,0
5,Min,138.237,255,255,255
6,Max,37078.772,255,255,255
