 ,Label,Area,Mean,Min,Max
1,,4257107.988,255,255,255
2,,218.195,255,255,255
3,,225.592,255,255,255
4,,166.420,255,255,255
5,,207.101,255,255,255
6,,184.911,255,255,255
7,,118.343,255,255,255
8,,170.118,255,255,255
9,,114.645,255,255,255
10,,650.888,255,255,255
11,,151.627,255,255,255
12,,244.083,255,255,255
13,,244.083,255,255,255
14,,221.893,255,255,255
15,,122.041,255,255,255
16,,1176.036,255,255,255
17,,318.047,255,255,255
18,Mean,250684.824,255,255,255
19,SD,1032431.651,0,0,0
20,Min,114.645,255,255,255
21,Max,4257107.988,255,255,255
