 ,Label,Area,Mean,Min,Max
1,,126257.222,255,255,255
2,,10.222,255,255,255
3,,10.444,255,255,255
4,Mean,42092.630,255,255,255
5,SD,72888.675,0,0,0
6,Min,10.222,255,255,255
7,Max,126257.222,255,255,255
