 ,Label,Area,Mean,Min,Max
1,,3787745.536,255,255,255
2,,315.689,255,255,255
3,,232.781,255,255,255
4,,102.041,255,255,255
5,,143.495,255,255,255
6,,102.041,255,255,255
7,,165.816,255,255,255
8,,159.439,255,255,255
9,,111.607,255,255,255
10,Mean,421008.716,255,255,255
11,SD,1262526.309,0,0,0
12,Min,102.041,255,255,255
13,Max,3787745.536,255,255,255
